grid_id,resistance_multiplier,compliance_multiplier,status,restabilization_wall_s,baseline_systolic_mmHg,baseline_diastolic_mmHg,baseline_map_mmHg,baseline_heart_rate_per_min,baseline_cardiac_output_L_min,baseline_stroke_volume_mL,baseline_systemic_vascular_resistance_mmHg_s_mL,baseline_blood_volume_mL,baseline_baroreceptor_heart_rate_scale,baseline_baroreceptor_heart_elastance_scale,baseline_baroreceptor_resistance_scale,baseline_baroreceptor_compliance_scale,baseline_pulse_pressure_mmHg,achieved_systolic_mmHg,achieved_diastolic_mmHg,achieved_map_mmHg,achieved_heart_rate_per_min,achieved_cardiac_output_L_min,achieved_stroke_volume_mL,achieved_systemic_vascular_resistance_mmHg_s_mL,achieved_blood_volume_mL,achieved_baroreceptor_heart_rate_scale,achieved_baroreceptor_heart_elastance_scale,achieved_baroreceptor_resistance_scale,achieved_baroreceptor_compliance_scale,achieved_pulse_pressure_mmHg
R1.05_C0.95,1.05,0.95,ok,120.68737317807972,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,117.26536617891531,75.42579960309638,97.75713816836982,72.01447019521937,5.659925027011335,78.59720881646977,0.9874698443734701,5510.039584046618,0.9999799575420016,0.999998987754646,0.9999932357263948,1.0000013304446678,41.84085470341494
R1.05_C1.00,1.05,1.0,ok,120.40497747599147,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,116.29573920982398,76.36603277134671,97.68902667817547,72.01296761055568,5.65625834642362,78.54621762912447,0.987430745028081,5510.21100864144,0.9999794182136792,0.9999989605158416,0.9999916129679187,1.0000021163196164,39.93205830850894
R1.10_C0.50,1.1,0.5,ok,130.53750240500085,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,132.96221372876587,64.1514658501017,99.78337176157731,72.01415465044778,5.53392120915365,76.84864947342398,1.0327976006385176,5506.333385790926,0.9999608574809433,0.9999980231050977,0.9999856390162911,1.0000031740228086,68.81265153277027
R1.10_C0.55,1.1,0.55,ok,131.3261110370513,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,130.5162291374378,66.70194117053691,99.79446372879765,72.01607429969552,5.535003853739291,76.85791448112639,1.032781167973398,5506.412824757961,1.0000066247734984,1.000000334584519,1.0000083353498155,0.9999963322684824,63.82110455807377
R1.10_C0.60,1.1,0.6,ok,120.71113482001238,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,128.38466097900377,68.93046619872395,99.78706403354187,72.01355253990033,5.534347282273861,76.85488607696954,1.0328045602803695,5506.496393818835,0.9999449973656056,0.9999972220891722,0.9999785330812045,1.0000051603850255,59.4563024719857
R1.10_C0.65,1.1,0.65,ok,130.7915918538347,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,126.51022074895431,70.52699564063542,99.76953915480249,72.01503634295983,5.533679451172647,76.84281574500523,1.0327917035587277,5506.581587906025,0.9999961092191557,0.9999998034959163,0.999999989027334,0.9999994006413335,55.98408284473017
R1.10_C0.70,1.1,0.7,ok,123.93767191213556,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,124.83514160181394,71.84881654638606,99.73234593246309,72.01284555961502,5.531777563455218,76.81853893109975,1.0327644379036456,5506.681172141899,0.9999481850043842,0.9999973830810291,0.9999780560821294,1.0000057550869639,52.98746927035869
R1.10_C0.75,1.1,0.75,ok,121.43084928020835,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,123.34320797109146,73.06694652902405,99.69299409014369,72.01322415150707,5.529723073535919,76.7900822209146,1.0327451881516918,5506.800870492192,0.9999401520739261,0.9999969773774713,0.999975749424849,1.0000060823990253,50.27740568075975
R1.10_C0.80,1.1,0.8,ok,120.16151099209674,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,121.98557786731124,74.27139703680086,99.642984128595,72.01337204872078,5.527052864694831,76.75442262309724,1.0327418476716104,5506.936795326472,0.9999704435034718,0.99999850724765,0.9999872136934549,1.0000034557066977,47.71526827654573
R1.10_C0.85,1.1,0.85,ok,124.6033849818632,114.26469210777472,73.58841215856145,95.33053876478468,72.00445607717201,5.786797872847419,80.36571875019953,0.939634108459266,5489.01849115801,0.9999124006519525,0.9999955757905031,0.9999642737257897,1.0000090158914585,40.6742257709992,120.74296286044594,75.52614682470457,99.58867359542322,72.01192016132399,5.524355108108418,76.71628531288297,1.0326701631196609,5507.084172017257,0.9998625434510926,0.9999930577500549,0.9999424516473167,1.0000149214167302,45.216369664675305
