phase,time_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,stroke_volume_mL,systemic_vascular_resistance_mmHg_s_mL,blood_volume_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,pulse_pressure_mmHg
pre,24.999999999999556,114.25500443328873,73.58238484715274,95.3213237159938,72.0258389139591,5.7883415401610465,80.36479168365821,0.9392783117363088,5489.9334060258325,0.9995363357655954,0.9999765826144242,0.9997806147255809,1.0000652592497208,40.672619586135994
pre,25.999999999999535,114.26148211632072,73.58365534771924,95.32620031454611,72.02581792503312,5.788989615867423,80.37381292764765,0.9392237055632812,5489.97146122362,0.9995591572649171,0.9999777352154003,0.9997879389413149,1.0000641353951352,40.67782676860148
pre,26.999999999999513,114.26505394728417,73.58728754942385,95.32935020564777,72.02581657219388,5.78902458082622,80.37429988764777,0.9392505062070967,5490.010408081025,0.9995243750867255,0.9999759785397342,0.9997719951280509,1.0000688385138148,40.677766397860324
pre,27.999999999999492,114.2667564858975,73.58909263458156,95.33073901961639,72.02572803556556,5.789057277324131,80.37485264245512,0.939258969342787,5490.0505742453915,0.9994628541901286,0.9999728714237442,0.9997449706521271,1.0000763936719212,40.67766385131594
pre,28.99999999999947,114.2568985825668,73.58774426136596,95.32324132317625,72.02502752042989,5.787996074958312,80.3609005677443,0.939351837546291,5490.091808036484,0.9994034916316696,0.9999698733147311,0.9997184604596897,1.0000839248209776,40.66915432120085
pre,29.99999999999945,114.25660448468457,73.58286250822232,95.32216981469894,72.02464340669337,5.788489728711618,80.36818309569978,0.9392603563054139,5490.132261879243,0.9994376678819306,0.9999715993879768,0.9997297509715258,1.0000820207771892,40.67374197646225
post,883.6999999994863,142.28936375412056,82.91461249668082,113.6644215841235,72.00228070651674,4.4155766863100725,61.325511400230276,1.4948170457422474,5485.859817603463,1.0000015587179147,1.0000000787231274,1.0000006321978383,0.99999984134438,59.37475125743974
post,884.6999999994854,142.29649950530012,82.91553650134428,113.6697917192864,72.00448006556394,4.416047587629374,61.33017811681059,1.4947318012159727,5485.859672803183,0.9999693184268206,0.9999984504255971,0.9999875526201596,1.0000031245720253,59.38096300395584
post,885.6999999994845,142.29926507631512,82.92006023432417,113.67249217046293,72.00649467674485,4.416104937993185,61.32925867059886,1.494749944133398,5485.861076673617,0.9998971043300062,0.9999948032489904,0.9999579506924631,1.0000106329892697,59.379204841990955
post,886.6999999994836,142.29953554367555,82.92236126999967,113.672974592006,72.0097478587381,4.416215928247956,61.32802932335314,1.494719476784049,5485.863658673373,0.9998156626919872,0.9999906900349488,0.9999241106319946,1.0000193339256445,59.37717427367588
post,887.6999999994827,142.28950304632448,82.92206528405345,113.66593565287455,72.01097023776468,4.415714060967069,61.32001896915614,1.4947941639161655,5485.863647483241,0.9997610923237105,0.9999879339557427,0.9999006578278088,1.0000255651178174,59.36743776227104
post,888.6999999994817,142.28733358781636,82.91717825758471,113.663913466457,72.01212306975582,4.415851662919129,61.32094812204934,1.4947209547141438,5485.861780152022,0.9997697145486054,0.9999883694216467,0.9999026621212909,1.0000254628079428,59.370155330231654
post,889.6999999994808,142.2939506680407,82.91686428832917,113.6687783455225,72.0132820610415,4.416280281081776,61.325913146665776,1.4946430159298807,5485.861278084457,0.9997592699479441,0.9999878419165626,0.9998970631466201,1.0000272474372491,59.37708637971154
post,890.6999999994799,142.29642483221818,82.92125104256057,113.67131990738642,72.0143501051255,4.416259390919613,61.32471353935461,1.4946853285700648,5485.862395490418,0.9997099658207538,0.999985351809129,0.9998755870429894,1.0000330566982227,59.37517378965761
post,891.699999999479,142.2969718937044,82.9239059295441,113.67218369765244,72.01597218096569,4.416249490184511,61.32319479194305,1.494700768468122,5485.864855137688,0.9996484177536948,0.9999822433208936,0.9998488341648963,1.000040280887639,59.373065964160304
post,892.6999999994781,142.28754547809817,82.92394632712383,113.66567033513877,72.0164904133816,4.415716191511588,61.31534827877547,1.4947932041703809,5485.865938264116,0.999605857267933,0.9999800938014107,0.9998294259667754,1.0000457665789038,59.36359915097434
post,893.6999999994772,142.2854496689982,82.91954623396691,113.66380610909684,72.01699322494977,4.415790257996631,61.31594864289351,1.494743627968996,5485.8642109069515,0.9996232778536522,0.999980973628972,0.9998342665109208,1.000045203792987,59.3659034350313
post,894.6999999994763,142.29276882486514,82.91939291311901,113.66920759203661,72.01755001499414,4.4162121223227135,61.3213323891642,1.4946752362887672,5485.863334228995,0.9996199516149951,0.9999808056371204,0.9998309052742925,1.000046661975906,59.37337591174612
post,895.6999999994754,142.29517064539945,82.92420732711267,113.67176824767178,72.01804645472367,4.416131039224727,61.31978381281227,1.494738141461137,5485.864146177636,0.999573950677929,0.9999784823574708,0.9998101770951454,1.000052508157642,59.37096331828678
post,896.6999999994745,142.29545349420235,82.92685390601609,113.67245071112677,72.0186056689858,4.416040249669662,61.31804703310706,1.4947784538719768,5485.866365082403,0.9995149027417278,0.9999755001384708,0.9997838851406007,1.0000598350654086,59.36859958818626
post,897.6999999994736,142.28657620425344,82.92677105554462,113.6663075489589,72.0186355226072,4.415514215496454,61.31071747548439,1.4948734864017856,5485.868397244392,0.9994726688546318,0.99997336711387,0.9997640933941766,1.0000656292238534,59.359805148708816
