target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier,estimated_systolic_mmHg,estimated_diastolic_mmHg,estimated_systolic_residual_mmHg,estimated_diastolic_residual_mmHg,estimated_euclidean_residual_mmHg,validation_status,restabilization_wall_s,achieved_systolic_mmHg,achieved_diastolic_mmHg,achieved_map_mmHg,achieved_pulse_pressure_mmHg,achieved_heart_rate_per_min,achieved_cardiac_output_L_min,achieved_systolic_residual_mmHg,achieved_diastolic_residual_mmHg,achieved_euclidean_residual_mmHg,validated_within_tolerance
120,75,True,1.0820309618318813,0.8621648697822832,120.00002131557959,75.03198590122892,2.131557958762187e-05,0.03198590122892142,0.03198590833133006,ok,141.25089161586948,120.00562283134565,75.00408120678517,98.9700189474786,45.002160804142775,72.01332393769779,5.573733190196787,0.005622831345647228,0.004081206785173208,0.006947840035934683,True
120,80,True,1.1549124261720758,0.947706954851272,119.99999999999999,79.99999999999999,-1.4210854715202004e-14,-1.4210854715202004e-14,2.0097183471152322e-14,ok,124.84714801493101,119.9992101095101,80.00133164390837,101.24896005510362,40.000298742035014,72.01341348992791,5.370266019942522,-0.0007898904898979708,0.0013316439083723708,0.0015482901810502123,True
120,85,False,,,,,,,,,,,,,,,,,,,False
120,90,False,,,,,,,,,,,,,,,,,,,False
120,95,False,,,,,,,,,,,,,,,,,,,False
120,100,False,,,,,,,,,,,,,,,,,,,False
120,105,False,,,,,,,,,,,,,,,,,,,False
120,110,False,,,,,,,,,,,,,,,,,,,False
120,115,False,,,,,,,,,,,,,,,,,,,False
120,120,False,,,,,,,,,,,,,,,,,,,False
120,125,False,,,,,,,,,,,,,,,,,,,False
125,45,False,,,,,,,,,,,,,,,,,,,False
125,50,False,,,,,,,,,,,,,,,,,,,False
125,55,False,,,,,,,,,,,,,,,,,,,False
125,60,False,,,,,,,,,,,,,,,,,,,False
