domain,target_systolic_mmHg,target_diastolic_mmHg,lookup_reachable,resistance_multiplier,compliance_multiplier
prescribed,170,80,False,,
prescribed,170,85,False,,
prescribed,170,90,False,,
prescribed,170,95,False,,
prescribed,170,100,False,,
prescribed,170,105,False,,
prescribed,170,110,False,,
prescribed,170,115,False,,
prescribed,170,120,False,,
prescribed,170,125,False,,
prescribed,170,130,False,,
prescribed,170,135,False,,
prescribed,170,140,False,,
prescribed,175,40,False,,
prescribed,175,45,False,,
prescribed,175,50,False,,
prescribed,175,55,False,,
prescribed,175,60,False,,
prescribed,175,65,False,,
prescribed,175,70,False,,
prescribed,175,75,False,,
prescribed,175,80,False,,
prescribed,175,85,False,,
prescribed,175,90,False,,
prescribed,175,95,False,,
prescribed,175,100,False,,
prescribed,175,105,False,,
prescribed,175,110,False,,
prescribed,175,115,False,,
prescribed,175,120,False,,
prescribed,175,125,False,,
prescribed,175,130,False,,
prescribed,175,135,False,,
prescribed,175,140,False,,
prescribed,180,40,False,,
prescribed,180,45,False,,
prescribed,180,50,False,,
prescribed,180,55,False,,
prescribed,180,60,False,,
prescribed,180,65,False,,
prescribed,180,70,False,,
prescribed,180,75,False,,
prescribed,180,80,False,,
prescribed,180,85,False,,
prescribed,180,90,False,,
prescribed,180,95,False,,
prescribed,180,100,False,,
prescribed,180,105,False,,
prescribed,180,110,False,,
prescribed,180,115,False,,
prescribed,180,120,False,,
prescribed,180,125,False,,
prescribed,180,130,False,,
prescribed,180,135,False,,
prescribed,180,140,False,,
prescribed,185,40,False,,
prescribed,185,45,False,,
prescribed,185,50,False,,
prescribed,185,55,False,,
prescribed,185,60,False,,
prescribed,185,65,False,,
prescribed,185,70,False,,
prescribed,185,75,False,,
prescribed,185,80,False,,
prescribed,185,85,False,,
prescribed,185,90,False,,
prescribed,185,95,False,,
prescribed,185,100,False,,
prescribed,185,105,False,,
prescribed,185,110,False,,
prescribed,185,115,False,,
prescribed,185,120,False,,
prescribed,185,125,False,,
prescribed,185,130,False,,
prescribed,185,135,False,,
prescribed,185,140,False,,
prescribed,190,40,False,,
prescribed,190,45,False,,
prescribed,190,50,False,,
prescribed,190,55,False,,
prescribed,190,60,False,,
prescribed,190,65,False,,
prescribed,190,70,False,,
prescribed,190,75,False,,
