case,vessel,systolic_mmHg,diastolic_mmHg,mean_mmHg,pulse_pressure_mmHg,time_to_peak_phase,reflected_wave_present,reflected_wave_phase,augmentation_pressure_mmHg,augmentation_index_pct,openbf_converged,openbf_cycles,openbf_solver_elapsed_s,source,terminal_resistance_scale,terminal_compliance_scale,wall_youngs_modulus_scale
resistance_dominant_arm2_matched_stiffening,external_carotid_R,121.859204624054,103.17774784760785,113.50285796023323,18.681456776446154,0.162,True,0.292,5.984105708219616,32.03232906207005,True,12,62.574696425,pulse,2.076690990056454,1.0,1.0
resistance_dominant_arm2_matched_stiffening,internal_carotid_R,128.82552532230392,102.54749553862199,113.41009120020799,26.27802978368193,0.132,True,0.302,9.920907939338278,37.753621641371836,True,12,62.574696425,pulse,2.076690990056454,1.0,1.0
compliance_dominant_arm1_inlet_only,aortic_arch_I,101.14807210579141,80.19800635443961,92.65614023233613,20.9500657513518,0.374,False,,,,True,6,31.815346173,pulse,1.056278325908467,1.0,1.0
compliance_dominant_arm1_inlet_only,external_carotid_R,102.62443749575519,77.52531678614073,92.33885807325129,25.099120709614454,0.17200000000000001,True,0.374,5.731937000098455,22.837202412046185,True,6,31.815346173,pulse,1.056278325908467,1.0,1.0
compliance_dominant_arm1_inlet_only,internal_carotid_R,111.45476130925499,76.8024771567856,92.15913809712148,34.65228415246939,0.14200000000000002,True,0.322,8.419245574291452,24.29636539180774,True,6,31.815346173,pulse,1.056278325908467,1.0,1.0
compliance_dominant_arm2_matched_stiffening,aortic_arch_I,111.85275126263438,66.30728467260457,93.8442728969932,45.54546659002982,0.292,False,,,,True,4,31.325570527,pulse,1.056278325908467,1.0,2.5
compliance_dominant_arm2_matched_stiffening,external_carotid_R,112.6816695173462,64.21224901482532,93.6034407502169,48.469420502520876,0.292,False,,,,True,4,31.325570527,pulse,1.056278325908467,1.0,2.5
compliance_dominant_arm2_matched_stiffening,internal_carotid_R,112.84037385243707,63.56259960457826,93.3787905043672,49.27777424785881,0.292,True,0.524,1.6248421022428374,3.2973122813342957,True,4,31.325570527,pulse,1.056278325908467,1.0,2.5
combined_arm1_inlet_only,aortic_arch_I,120.33978883856138,106.88478193982925,114.3259327793017,13.455006898732123,0.324,True,0.596,0.6375212642471553,4.738171217936941,True,12,60.7904589,pulse,2.063360324779779,1.0,1.0
combined_arm1_inlet_only,external_carotid_R,121.11330721707749,104.16500433007974,114.20269085632415,16.94830288699775,0.28200000000000003,True,0.536,0.9506385711425906,5.609048749488028,True,12,60.7904589,pulse,2.063360324779779,1.0,1.0
combined_arm1_inlet_only,internal_carotid_R,128.2085222782449,103.59944494506713,114.10841753102017,24.60907733317778,0.122,True,0.28400000000000003,9.793283291886226,39.79541028416775,True,12,60.7904589,pulse,2.063360324779779,1.0,1.0
combined_arm2_matched_stiffening,aortic_arch_I,131.09859665427513,99.49491867908118,117.30091118256415,31.603677975193946,0.254,False,,,,True,8,60.808615505,pulse,2.063360324779779,1.0,2.5
combined_arm2_matched_stiffening,external_carotid_R,132.25830667945624,97.28090838103145,117.24785169762602,34.97739829842479,0.272,True,0.446,1.3497239558180354,3.858846059110178,True,8,60.808615505,pulse,2.063360324779779,1.0,2.5
combined_arm2_matched_stiffening,internal_carotid_R,132.5989806090207,96.76032017186708,117.11317223140081,35.838660437153635,0.272,True,0.464,3.2320969566327022,9.018464745077399,True,8,60.808615505,pulse,2.063360324779779,1.0,2.5
threshold_E_1p10,aortic_arch_I,101.15269436538944,78.01693793662164,91.8141638515105,23.13575642876779,0.342,False,,,,True,5,29.462887475,Pulse low-pulsatility threshold,1.0533248717747048,1.0,1.1
