case,vessel,metric,metric_class,effect_vs_normotensive,noise_floor,attribution_ratio,passes_1p25x_floor
compliance_dominant_arm1_inlet_only,aortic_arch_I,reflected_wave_phase,shape,,0.272,,False
compliance_dominant_arm1_inlet_only,aortic_arch_I,augmentation_pressure_mmHg,amplitude,,0.3457850702287715,,False
compliance_dominant_arm1_inlet_only,aortic_arch_I,augmentation_index_pct,shape,,2.023425080535291,,False
compliance_dominant_arm1_inlet_only,aortic_arch_I,phase_aligned_normalised_shape_rmse,shape,0.03807077427265785,0.026479083186176207,1.4377678413176047,True
compliance_dominant_arm1_inlet_only,external_carotid_R,systolic_mmHg,amplitude,1.5844907863667999,5.120386039422314,0.3094475248873156,False
compliance_dominant_arm1_inlet_only,external_carotid_R,diastolic_mmHg,amplitude,1.796960352448096,4.189590828168193,0.4289107042068301,False
compliance_dominant_arm1_inlet_only,external_carotid_R,mean_mmHg,amplitude,1.2032193972371203,4.746275062321828,0.25350814721819304,False
compliance_dominant_arm1_inlet_only,external_carotid_R,pulse_pressure_mmHg,amplitude,3.381451138814896,1.0128989650885813,3.338389370867979,True
compliance_dominant_arm1_inlet_only,external_carotid_R,time_to_peak_phase,shape,0.010000000000000009,0.010000000000000009,1.0,False
compliance_dominant_arm1_inlet_only,external_carotid_R,reflected_wave_phase,shape,0.08000000000000002,0.018000000000000016,4.444444444444441,True
compliance_dominant_arm1_inlet_only,external_carotid_R,augmentation_pressure_mmHg,amplitude,1.1387329776675585,0.3927117276224408,2.8996663393825464,True
compliance_dominant_arm1_inlet_only,external_carotid_R,augmentation_index_pct,shape,6.709703122792263,0.8350050446611537,8.035524055444563,True
compliance_dominant_arm1_inlet_only,external_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.06379794343263913,0.03817733446863761,1.6710947561058422,True
compliance_dominant_arm1_inlet_only,internal_carotid_R,systolic_mmHg,amplitude,2.675972358496935,5.257513691409031,0.5089805781903282,False
compliance_dominant_arm1_inlet_only,internal_carotid_R,diastolic_mmHg,amplitude,1.86829702046073,4.159181996588586,0.44919818896916053,False
compliance_dominant_arm1_inlet_only,internal_carotid_R,mean_mmHg,amplitude,1.195640849080661,4.74706627215852,0.25186942429960973,False
compliance_dominant_arm1_inlet_only,internal_carotid_R,pulse_pressure_mmHg,amplitude,4.544269378957665,1.244158569885144,3.652484087600807,True
compliance_dominant_arm1_inlet_only,internal_carotid_R,time_to_peak_phase,shape,0.0020000000000000018,0.008000000000000007,0.25,False
compliance_dominant_arm1_inlet_only,internal_carotid_R,reflected_wave_phase,shape,0.008000000000000007,0.018000000000000016,0.4444444444444444,False
compliance_dominant_arm1_inlet_only,internal_carotid_R,augmentation_pressure_mmHg,amplitude,0.2702119448210851,0.6132047230771605,0.4406553548138343,False
compliance_dominant_arm1_inlet_only,internal_carotid_R,augmentation_index_pct,shape,3.5061864212596667,0.93417537965626,3.7532421616054648,True
compliance_dominant_arm1_inlet_only,internal_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.04943505977618294,0.04112379710612243,1.202103483990372,False
compliance_dominant_arm2_matched_stiffening,aortic_arch_I,systolic_mmHg,amplitude,12.292577059823557,5.17739768431899,2.374277158012146,True
compliance_dominant_arm2_matched_stiffening,aortic_arch_I,diastolic_mmHg,amplitude,12.8188028627562,4.230042473199788,3.030419421074867,True
compliance_dominant_arm2_matched_stiffening,aortic_arch_I,mean_mmHg,amplitude,2.403304911508542,4.744868925191952,0.5065060699039894,False
compliance_dominant_arm2_matched_stiffening,aortic_arch_I,pulse_pressure_mmHg,amplitude,25.111379922579758,1.8487021370518306,13.583248171403898,True
compliance_dominant_arm2_matched_stiffening,aortic_arch_I,time_to_peak_phase,shape,0.06,0.10999999999999999,0.5454545454545455,False
compliance_dominant_arm2_matched_stiffening,aortic_arch_I,reflected_wave_phase,shape,,0.272,,False
compliance_dominant_arm2_matched_stiffening,aortic_arch_I,augmentation_pressure_mmHg,amplitude,,0.3457850702287715,,False
compliance_dominant_arm2_matched_stiffening,aortic_arch_I,augmentation_index_pct,shape,,2.023425080535291,,False
compliance_dominant_arm2_matched_stiffening,aortic_arch_I,phase_aligned_normalised_shape_rmse,shape,0.06796791423503662,0.026479083186176207,2.566853004582888,True
compliance_dominant_arm2_matched_stiffening,external_carotid_R,systolic_mmHg,amplitude,8.472741235224206,5.120386039422314,1.6547075103306286,True
compliance_dominant_arm2_matched_stiffening,external_carotid_R,diastolic_mmHg,amplitude,11.516107418867321,4.189590828168193,2.7487427510677667,True
compliance_dominant_arm2_matched_stiffening,external_carotid_R,mean_mmHg,amplitude,2.467802074202737,4.746275062321828,0.5199450183141122,False
compliance_dominant_arm2_matched_stiffening,external_carotid_R,pulse_pressure_mmHg,amplitude,19.988848654091527,1.0128989650885813,19.734296650548394,True
compliance_dominant_arm2_matched_stiffening,external_carotid_R,time_to_peak_phase,shape,0.12999999999999998,0.010000000000000009,12.999999999999986,True
compliance_dominant_arm2_matched_stiffening,external_carotid_R,reflected_wave_phase,shape,,0.018000000000000016,,False
compliance_dominant_arm2_matched_stiffening,external_carotid_R,augmentation_pressure_mmHg,amplitude,,0.3927117276224408,,False
compliance_dominant_arm2_matched_stiffening,external_carotid_R,augmentation_index_pct,shape,,0.8350050446611537,,False
compliance_dominant_arm2_matched_stiffening,external_carotid_R,phase_aligned_normalised_shape_rmse,shape,0.13645864923533726,0.03817733446863761,3.574336740230961,True
compliance_dominant_arm2_matched_stiffening,internal_carotid_R,systolic_mmHg,amplitude,1.2903598153148579,5.257513691409031,0.24543156538486108,False
compliance_dominant_arm2_matched_stiffening,internal_carotid_R,diastolic_mmHg,amplitude,11.37158053174661,4.159181996588586,2.7340906315409432,True
