case_id,target,R,C,refinement_step,search_valid,exclusion_reason,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,aorta_inflow_mL_s,BrainVasculature_inflow_mL_min,LeftKidneyVasculature_inflow_mL_min,RightKidneyVasculature_inflow_mL_min,GutVasculature_inflow_mL_min,LiverVasculature_inflow_mL_min,MuscleVasculature_inflow_mL_min,SkinVasculature_inflow_mL_min,MyocardiumVasculature_inflow_mL_min,pulse_pressure_mmHg,status,stationarity_sbp_bin_median_range_mmHg,stationarity_dbp_bin_median_range_mmHg,stationarity_pass,direct_target_systolic_mmHg,direct_target_diastolic_mmHg,J_against_direct_target,dynamic_stabilization_wall_s,dynamic_stabilization_simulated_s
refine_higher_0.005_R1.680_C0.490,higher,1.68,0.49,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,143.7578176416037,84.84232156769876,115.23708725872922,72.01582040731586,4.28506469714049,1.5638107439915545,1.0000278185882099,1.0000014049792005,1.0000142603566302,0.9999955574600128,0.0,498.6251039549006,310.43452758032834,310.4345275803287,584.9349312195995,993.564400693387,639.9671540531971,207.81341723094746,172.04007851779957,58.91549607390495,trace_complete_exploratory,0.01757607644154291,0.016948278517247672,True,148.60512489521057,90.7067870743288,57.88834328932319,154.0,785.0
refine_higher_0.005_R1.680_C0.495,higher,1.68,0.495,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,143.51666966454584,85.10615404724626,115.23692361028596,72.01610211815415,4.2851817265097525,1.5638071798897146,1.000047583715154,1.000002403217937,1.0000229559253966,0.9999932805047675,0.0,498.8815534796596,317.1431812283097,317.1431812283106,585.2936160117606,993.7337741476044,640.3998429344709,207.92014736419355,172.1645873908612,58.41051561729958,trace_complete_exploratory,0.01821688825214096,0.016861779062637083,True,148.60512489521057,90.7067870743288,57.259466938526856,161.0,785.0
refine_higher_0.005_R1.680_C0.500,higher,1.68,0.5,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,143.2798733326621,85.36579459368164,115.23659794284472,72.01658434446578,4.2852848363421385,1.5638144826337983,1.0000724611103802,1.0000036596520403,1.0000340146241178,0.9999902454305716,0.0,499.1078073056704,318.23542524964205,318.23542524964296,585.6169116358449,993.8675642598336,640.7935637987052,208.0143331186556,172.2782641008873,57.914078738980464,trace_complete_exploratory,0.020016237321669905,0.01713419711272479,True,148.60512489521057,90.7067870743288,56.8845048827543,151.0,785.0
refine_higher_0.005_R1.680_C0.505,higher,1.68,0.505,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,143.02770488392008,85.59676555412955,115.2173328033971,72.00589086279216,4.2851364599135895,1.5634975823478423,0.9993300419441844,0.9999661637345552,0.9997142928950498,1.00007576808123,0.0,499.35721434028505,316.8010413363646,316.80104133636576,585.9468946321945,994.0956293447506,641.1836755451864,208.11793341196505,172.39082184489243,57.43093932979053,trace_complete_exploratory,0.024620361119445988,0.00892270905731607,True,148.60512489521057,90.7067870743288,57.21993391924305,140.0,781.0
refine_higher_0.005_R1.680_C0.510,higher,1.68,0.51,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.7921402617206,85.83556738159831,115.2081774259006,72.0095961241494,4.285989169056682,1.5630630684611588,0.9995822912483106,0.9999789035983996,0.9998226876549516,1.000046764895272,0.0,493.78885272482734,314.17805485744054,314.178054857442,577.7478079153257,986.860829867139,631.515151219638,205.66510512664803,169.9403120929325,56.95657288012228,trace_complete_exploratory,0.019073003873671723,0.0063999530937621785,True,148.60512489521057,90.7067870743288,57.51957164403592,142.0,771.0
refine_higher_0.005_R1.680_C0.515,higher,1.68,0.515,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.56741833232576,86.09373646444206,115.214683083116,72.01308382242784,4.2854633210542925,1.5633540497350058,0.9998485730313247,0.9999923521732994,0.9999365776084672,1.0000164118757127,0.0,499.71080685962653,316.0969035825751,316.0969035825734,586.4625552188095,994.193816975573,641.8191069936626,208.26509779398552,172.57434495232422,56.4736818678837,trace_complete_exploratory,0.012391652307002232,0.011472536034247582,True,148.60512489521057,90.7067870743288,57.73413646887871,187.0,776.0
refine_higher_0.005_R1.680_C0.520,higher,1.68,0.52,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,142.3542199327263,86.3493491969278,115.22254618944744,72.01469108328158,4.285133572001041,1.563626479595613,0.9999473078952462,0.9999973387825867,0.999979378500311,1.0000049456782079,0.0,499.9208381298347,311.2712499982931,311.27124999829266,586.759518697912,994.2997797619223,642.17835200988,208.35255793568916,172.67795113611822,56.00487073579849,trace_complete_exploratory,0.012781220195904552,0.01391723670111844,True,148.60512489521057,90.7067870743288,58.061077705419386,191.0,781.0
refine_higher_0.005_R1.680_C0.580,higher,1.68,0.58,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,139.87239758382825,88.37906128522214,115.14788276386552,72.01477220275386,4.286959820660587,1.5619377005233746,0.9999520292423221,0.9999975772344611,0.9999814743433593,1.0000043659361486,0.0,501.62964568125994,327.04679092335095,327.0467909233503,589.2169569673822,994.9087607831038,645.1874142018507,209.06388114569774,173.5526337908781,51.49333629860611,trace_complete_exploratory,0.013176368124987903,0.009504232545396007,True,148.60512489521057,90.7067870743288,81.67883364423493,183.0,747.0
refine_higher_0.005_R1.680_C0.585,higher,1.68,0.585,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,139.686162091916,88.52964473571855,115.1495135045902,72.01568594252976,4.2863253728107775,1.5621644580781513,1.0000148913778708,1.0000007520897927,1.000008751309986,0.9999970122289745,0.0,501.7831814648375,330.31688638405467,330.31688638405745,589.428351116446,995.0249539696777,645.4447553133227,209.12765234920693,173.62750273048027,51.156517356197455,trace_complete_exploratory,0.016929509755982508,0.012724188749899668,True,148.60512489521057,90.7067870743288,84.28784624912132,143.0,752.0
refine_higher_0.005_R1.680_C0.590,higher,1.68,0.59,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,139.4989558433549,88.6674778212226,115.14003530153636,72.01581424031455,4.286668594525588,1.561913649257453,1.0000239935359079,1.0000012117947426,1.0000128084891786,0.9999959377580596,0.0,501.8186181286859,326.0904120717263,326.0904120717263,589.4946732727464,994.9492640555625,645.5323718999117,209.1427116315782,173.65434072519628,50.8314780221323,trace_complete_exploratory,0.017019954699662776,0.01040757620241095,True,148.60512489521057,90.7067870743288,87.08109703077835,149.0,747.0
refine_higher_0.005_R1.680_C0.595,higher,1.68,0.595,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,139.32213057404385,88.81582003029921,115.14127013043662,72.01608731671266,4.2861984633201855,1.5621496541414832,1.0000460726073874,1.0000023268993652,1.0000222252499091,0.9999934631034257,0.0,502.015498452256,331.8559111384303,331.85591113843384,589.7647826333066,995.1023932907215,645.8542238414448,209.2245219530779,173.74580604472905,50.50631054374465,trace_complete_exploratory,0.017939354838944155,0.014663562076520975,True,148.60512489521057,90.7067870743288,89.74973992841944,152.0,752.0
refine_higher_0.005_R1.680_C0.600,higher,1.68,0.6,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,139.1420890105383,88.9523414384884,115.13216325063888,72.0168319001831,4.286653830046459,1.5618939348023282,1.0000823441957019,1.0000041587977635,1.0000384578787922,0.9999889720120938,0.0,502.04561266638314,327.721005829438,327.72100582943915,589.825868796994,995.0219940673254,645.939583870128,209.23718468181931,173.77399588779366,50.18974757204991,trace_complete_exploratory,0.021391156400284217,0.016168531256113283,True,148.60512489521057,90.7067870743288,92.62712764371416,144.0,747.0
refine_higher_0.005_R1.680_C0.605,higher,1.68,0.605,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,138.96491704809662,89.09005807829374,115.1261549644962,72.01674861867244,4.286457334407439,1.5618954070886852,1.0000911252666604,1.0000046022861957,1.0000415955049893,0.9999881828535446,0.0,493.30475671325314,328.23811608229744,328.23811608230017,577.5464254087701,988.9495707150901,631.1361324197701,205.58113467801292,169.5583727428836,49.87485896980289,trace_complete_exploratory,0.021688348868195817,0.016536725348103687,True,148.60512489521057,90.7067870743288,95.54741998217777,149.0,747.0
refine_higher_0.005_R1.680_C0.610,higher,1.68,0.61,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,138.78695171656446,89.22592736533484,115.11973937601088,72.01593394839398,4.2861959122297,1.561893729138205,1.0000457866298933,1.000002312456054,1.0000220703524376,0.9999936074817735,0.0,502.2908679448866,334.24059327153736,334.24059327153566,590.1708479277545,995.1463910904058,646.3588841009016,209.3393790750937,173.89519677363862,49.56102435122962,trace_complete_exploratory,0.018393884857800913,0.01596890784183813,True,148.60512489521057,90.7067870743288,98.58947004360745,145.0,747.0
refine_higher_0.005_R1.680_C0.615,higher,1.68,0.615,0.005,False,mixed-grid isolated coarse points were incorrectly admitted as local minima,138.61208411033485,89.36083432319681,115.11363720182123,72.0153999152732,4.285918674599807,1.5618958173967177,1.000012864195404,1.000000649706839,1.0000075100368475,0.9999974170962875,0.0,502.3935661231767,334.7918833624648,334.7918833624645,590.3119712827587,995.1819594424454,646.5316503149294,209.38214594442374,173.94540580968425,49.251249787138036,trace_complete_exploratory,0.015993125403440445,0.013107822647654643,True,148.60512489521057,90.7067870743288,101.67245293646926,148.0,747.0
