case_id,route,target,R,C,requested_systolic_mmHg,requested_diastolic_mmHg,achieved_systolic_mmHg,achieved_diastolic_mmHg,status,wall_s,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,baroreceptor_heart_rate_scale,baroreceptor_heart_elastance_scale,baroreceptor_resistance_scale,baroreceptor_compliance_scale,aorta_inflow_mL_s,BrainVasculature_inflow_mL_min,LeftKidneyVasculature_inflow_mL_min,RightKidneyVasculature_inflow_mL_min,GutVasculature_inflow_mL_min,LiverVasculature_inflow_mL_min,MuscleVasculature_inflow_mL_min,SkinVasculature_inflow_mL_min,MyocardiumVasculature_inflow_mL_min,pulse_pressure_mmHg,stroke_volume_mL,stationarity_sbp_bin_median_range_mmHg,stationarity_dbp_bin_median_range_mmHg,stationarity_pass,tissue_tuning_simulated_s,dynamic_stabilization_wall_s,dynamic_stabilization_simulated_s,cvp_out_of_range_warning_n,outside_reference_warning_seen,J,refinement_step
refine_higher_0.005_R1.995_C0.445,modifier,higher,1.995,0.445,150.0,90.0,148.60512489521057,90.7067870743288,ok,115.19968542901915,149.4879489795652,89.64217688452823,120.78488463567786,72.01237345869819,3.842744350435385,1.8357785443239971,0.9997799846539674,0.9999888881138367,0.9999069663722145,1.0000247315674153,0.0,436.74245731266626,281.59987010742066,281.59987010741827,511.2137809677568,877.0551018272641,558.3596209005699,182.0150428866516,149.98375458355005,59.84577209503698,53.36227881225639,0.01091995913509436,0.0049186968616510285,True,,113.0,600.0,0,False,1.9127732201438223,0.005
refine_higher_0.005_R1.995_C0.450,modifier,higher,1.995,0.45,150.0,90.0,148.60512489521057,90.7067870743288,ok,117.48337167600403,149.21957360923463,89.87771470997464,120.78478262186155,72.01230385724475,3.8427569422997405,1.835773015903166,0.9997717175535734,0.9999884705835135,0.999904612302331,1.000024892057081,0.0,437.0160024678813,282.85172726623296,282.8517272662325,511.59791619262717,877.2327819937011,558.8247100837135,182.12918518347388,150.11706745470946,59.34185889925999,53.3625052451803,0.013082581825159423,0.007345700087114437,True,,115.0,600.0,0,False,1.0649082075016252,0.005
refine_higher_0.005_R1.995_C0.455,modifier,higher,1.995,0.455,150.0,90.0,148.60512489521057,90.7067870743288,ok,119.3722037000116,148.95116709731985,90.16748937070437,120.78274389640421,72.01242390021493,3.8426625234759806,1.8357596133222671,0.9997699892177208,0.9999883832938247,0.999903567043692,1.0000250082182705,0.0,437.268568343888,284.06326414792,284.0632641479196,511.95259339256734,877.3917263427375,559.2515226813539,182.23453015881938,150.23960689590214,58.78367772661548,53.36110514486531,0.015761081487113415,0.008294329603472761,True,,117.0,600.0,0,False,0.4105872187752263,0.005
refine_higher_0.005_R1.995_C0.470,modifier,higher,1.995,0.47,150.0,90.0,148.60512489521057,90.7067870743288,ok,120.20445320400177,148.17881808847966,91.007002216774,120.78348837470148,72.01220296328802,3.842849343265616,1.8357090498204514,0.9997527633708871,0.99998751330156,0.9998911033512541,1.0000283816725446,0.0,437.98221690602355,287.54959743106167,287.54959743105974,512.9520673273394,877.828426016826,560.4584793728859,182.53230149870953,150.5862666399492,57.17181587170566,53.363863138928124,0.01769103801987626,0.010871958272105076,True,,118.0,600.0,0,False,0.2718666252184921,0.005
refine_higher_0.005_R1.995_C0.440,modifier,higher,1.995,0.44,150.0,90.0,148.60512489521057,90.7067870743288,ok,153.9072216039931,149.75891300050654,89.43615541482995,120.78510085259454,72.01237994375867,3.8427357353997253,1.8357784943512419,0.9997829285400994,0.9999890367949543,0.999906882654238,1.000024745469999,0.0,436.45299977509274,280.31437789010545,280.31437789010533,510.80921427598855,876.8655714843924,557.8706861696871,181.89429408850424,149.8432351478006,60.322757585676584,53.36215437402407,0.010211007127111316,0.004770939672525287,True,,151.0,600.0,0,False,2.9457318060432645,0.005
refine_higher_0.005_R1.990_C0.455,modifier,higher,1.99,0.455,150.0,90.0,148.60512489521057,90.7067870743288,ok,186.9027103210101,148.98706069219895,90.55379440798515,120.96331136380994,72.01546501903357,3.8163191664304175,1.851687600096251,1.0000102809825713,1.0000005192415435,1.0000060559290387,0.9999978706958441,0.0,439.37662684356565,264.43020968650336,264.43020968650217,514.4833571364765,881.2057041705009,562.0758407626124,183.10746192747695,151.00583964913454,58.4332662842138,52.99305038746567,0.013666657427734208,0.01706618451761699,True,,185.0,899.0,0,False,0.16928170897609357,0.005
refine_higher_0.005_R1.995_C0.465,modifier,higher,1.995,0.465,150.0,90.0,148.60512489521057,90.7067870743288,ok,136.4847012149985,148.4314697754113,90.73243177118025,120.78325233949437,72.01244657051225,3.8427469439650723,1.8357328144360048,0.9997686022895793,0.9999883132469491,0.9999026275589203,1.0000253781984971,0.0,437.74957587791585,286.4146421809802,286.41464218097866,512.6284689925639,877.689536591984,560.0677337173518,182.4353418500017,150.47377659280005,57.699038004231056,53.362260650349924,0.014793572313493542,0.00889630777898276,True,,133.0,600.0,0,False,0.03081375110909917,0.005
refine_higher_0.005_R1.990_C0.475,modifier,higher,1.99,0.475,150.0,90.0,148.60512489521057,90.7067870743288,ok,173.63631781199365,147.9581018763258,91.64746944109746,120.95300173842233,72.01485811404889,3.8164568914222463,1.8514352922109023,0.9999345444665616,0.9999966941649784,0.9999733435757374,1.0000067212058874,0.0,440.2419217853467,269.2415750377353,269.2415750377338,515.6987425008881,881.7283641306642,563.5463013820311,183.46859356339638,151.42864753124218,56.31063243522834,52.99540943867693,0.009694926266007542,0.011227142644571586,True,,171.0,895.0,0,False,1.3035221021162358,0.005
refine_higher_0.005_R1.990_C0.470,modifier,higher,1.99,0.47,150.0,90.0,148.60512489521057,90.7067870743288,ok,194.98487670498434,148.2081074196232,91.38716217320085,120.95829068627374,72.01398916773503,3.815961161922771,1.8517571255224994,0.9999459941003666,0.9999972724293127,0.9999778864920487,1.0000056086809046,0.0,448.5834007580321,268.08731034490097,268.0873103448986,527.4074605105027,887.56369256314,577.659028975175,186.95729559937044,155.4468140038648,56.82094524642234,52.98916510561068,0.007725025788204221,0.011084100290730703,True,,193.0,900.0,0,False,0.6205331510869216,0.005
refine_higher_0.005_R1.990_C0.465,modifier,higher,1.99,0.465,150.0,90.0,148.60512489521057,90.7067870743288,ok,218.76476954700775,148.46151804849723,91.11411224442207,120.95929918832735,72.0140008384518,3.815979917017245,1.8517584738317538,0.9999406107194879,0.9999970005413892,0.9999757022541091,1.0000061562870908,0.0,439.8472787079327,266.6979358668451,266.69793586684403,515.1346668148672,881.5448329446044,562.8600843002583,183.30372596654908,151.23070572182695,57.34740580407515,52.989416954872276,0.0072816286577221945,0.012313486632322679,True,,216.0,900.0,0,False,0.18653672061446236,0.005
