body_id,replicate,endpoint,summary,direct,modifier,direct_minus_modifier
male_low_bmi,2,heart_rate_per_min,min_delta,-1.8951385372113236,-2.3550930158642984,0.4599544786529748
male_low_bmi,2,heart_rate_per_min,max_abs_delta,6.861458636576572,11.89222714574862,-5.030768509172049
male_low_bmi,2,aortic_sodium_mEq_L,max_delta,1.9683818097930725,0.766933347657158,1.2014484621359145
male_low_bmi,2,aortic_sodium_mEq_L,min_delta,-0.10522159987777968,-0.10129091952882163,-0.003930680348958049
male_low_bmi,2,aortic_sodium_mEq_L,max_abs_delta,1.9683818097930725,0.766933347657158,1.2014484621359145
male_low_bmi,2,renal_plasma_flow_mL_min,max_delta,29.65082800437085,4.708281554966618,24.942546449404233
male_low_bmi,2,renal_plasma_flow_mL_min,min_delta,-98.24438412407017,-96.45081186892372,-1.7935722551464437
male_low_bmi,2,renal_plasma_flow_mL_min,max_abs_delta,-98.24438412407017,-96.45081186892372,-1.7935722551464437
male_low_bmi,2,urine_production_mL_min,max_delta,1.3346490591996019,1.0497991649458451,0.28484989425375673
male_low_bmi,2,urine_production_mL_min,min_delta,-0.6445169186173099,-0.694380018282562,0.04986309966525215
male_low_bmi,2,urine_production_mL_min,max_abs_delta,1.3346490591996019,1.0497991649458451,0.28484989425375673
male_high_bmi,1,map_mmHg,max_delta,27.78533057137966,26.883807537295922,0.9015230340837377
male_high_bmi,1,map_mmHg,min_delta,-0.22746006599916768,-0.2781579973623707,0.050697931363203
male_high_bmi,1,map_mmHg,max_abs_delta,27.78533057137966,26.883807537295922,0.9015230340837377
male_high_bmi,1,systolic_mmHg,max_delta,30.095241232304488,26.971340086322982,3.123901145981506
male_high_bmi,1,systolic_mmHg,min_delta,-0.018128586337041952,-0.3054049082172128,0.2872763218801708
male_high_bmi,1,systolic_mmHg,max_abs_delta,30.095241232304488,26.971340086322982,3.123901145981506
male_high_bmi,1,diastolic_mmHg,max_delta,26.639788276591105,28.73453742599176,-2.0947491494006556
male_high_bmi,1,diastolic_mmHg,min_delta,-0.7334988084225387,-0.5937229443721748,-0.1397758640503639
male_high_bmi,1,diastolic_mmHg,max_abs_delta,26.639788276591105,28.73453742599176,-2.0947491494006556
male_high_bmi,1,svr_mmHg_s_mL,max_delta,0.5225082520609818,0.8434132034456847,-0.3209049513847029
male_high_bmi,1,svr_mmHg_s_mL,min_delta,-1.20425555794057e-05,-0.0012950579484884983,0.0012830153929090926
male_high_bmi,1,svr_mmHg_s_mL,max_abs_delta,0.5225082520609818,0.8434132034456847,-0.3209049513847029
male_high_bmi,1,cardiac_output_L_min,max_delta,0.0003550324640988478,0.003550455002606867,-0.0031954225385080193
male_high_bmi,1,cardiac_output_L_min,min_delta,-0.9675796077087808,-0.811155013665255,-0.15642459404352582
male_high_bmi,1,cardiac_output_L_min,max_abs_delta,-0.9675796077087808,-0.811155013665255,-0.15642459404352582
male_high_bmi,1,heart_rate_per_min,max_delta,6.588390303761912,11.719025788269448,-5.130635484507536
male_high_bmi,1,heart_rate_per_min,min_delta,-1.617199224246363,-1.5721167552680555,-0.04508246897830759
male_high_bmi,1,heart_rate_per_min,max_abs_delta,6.588390303761912,11.719025788269448,-5.130635484507536
male_high_bmi,1,aortic_sodium_mEq_L,max_delta,1.728114101884728,0.9156387174225529,0.812475384462175
male_high_bmi,1,aortic_sodium_mEq_L,min_delta,-0.10235724838315718,-0.07855556804619823,-0.023801680336958952
male_high_bmi,1,aortic_sodium_mEq_L,max_abs_delta,1.728114101884728,0.9156387174225529,0.812475384462175
male_high_bmi,1,renal_plasma_flow_mL_min,max_delta,55.25628981510533,13.374257508697326,41.88203230640801
male_high_bmi,1,renal_plasma_flow_mL_min,min_delta,-88.29754230481637,-88.17485716313024,-0.12268514168613365
male_high_bmi,1,renal_plasma_flow_mL_min,max_abs_delta,-88.29754230481637,-88.17485716313024,-0.12268514168613365
male_high_bmi,1,urine_production_mL_min,max_delta,1.5831362873971881,1.1045818644062733,0.4785544229909149
