body_id,case_id,route,R,C,status,systolic_mmHg,diastolic_mmHg,map_mmHg,heart_rate_per_min,cardiac_output_L_min,svr_mmHg_s_mL,stationarity_sbp_range_mmHg,stationarity_dbp_range_mmHg,stationarity_pass,objective_J
female_low_bmi,female_low_bmi_search_02,modifier,1.815,0.595,ok,141.8837256814903,92.41656099480645,117.74424358440294,72.0133304511324,3.409694451345044,2.0155266834443366,0.011706088895920175,0.013948400708528652,True,11.462184251309285
female_low_bmi,female_low_bmi_search_03,modifier,1.615,0.595,ok,139.36139897847653,86.54628882293302,113.90978922127604,72.01344633933428,3.684838537234903,1.7986698195689408,0.013426141571756034,0.013275411876733756,True,9.024866633915256
female_low_bmi,female_low_bmi_search_04,modifier,1.715,0.695,ok,137.25272155696976,92.79605887667918,115.6343059224178,72.01452828841465,3.53396733190955,1.9070344614921857,0.021408186317785294,0.018759700581782113,True,23.38591754278407
female_low_bmi,female_low_bmi_search_05,modifier,1.715,0.495,ok,145.07159607364983,85.27505101670312,116.09876423553712,72.01237919725705,3.5474827640679214,1.9072748998595934,0.01559383818880633,0.008324610437597357,True,36.263017511706906
female_low_bmi,female_low_bmi_search_06,modifier,1.706074,0.594313,ok,140.58233764088868,89.28935273322787,115.72733406627599,72.01079746904482,3.554152856957316,1.8974284711879266,0.01242211731451448,0.010956376021525216,True,3.5751587149133904e-06
female_high_bmi,female_high_bmi_search_01,modifier,1.715,0.595,ok,140.11888791882524,89.61257939205211,115.83362218731497,72.01394787769983,3.8632092271739165,1.7441217979169763,0.0073521357217885,0.008726234250900688,True,2.481220504882234
female_high_bmi,female_high_bmi_search_02,modifier,1.815,0.595,ok,141.3839401901025,92.4517940228456,117.71336128978471,72.01168823661911,3.7224764904541674,1.8423824361253627,0.013942004916316364,0.006634695520205014,True,16.5330226385257
female_high_bmi,female_high_bmi_search_03,modifier,1.615,0.595,ok,138.88653069225236,87.19051584163186,114.00855616748355,72.01482780772217,4.0056217698208245,1.6529459574540402,0.013495285210694874,0.009212516037109708,True,5.639009862676955
female_high_bmi,female_high_bmi_search_04,modifier,1.715,0.695,ok,136.89409696724485,92.89616256338536,115.6950364734528,72.01187072431978,3.861943717928861,1.7426514113080105,0.006903999118634374,0.0029739333216838304,True,13.986844095754254
female_high_bmi,female_high_bmi_search_05,modifier,1.715,0.495,ok,144.337075329356,86.07443481905202,116.01923471980191,72.01377179288987,3.8560555805999117,1.7502785807271188,0.00850195425400102,0.005612932507816026,True,45.55798576087602
female_high_bmi,female_high_bmi_search_06,modifier,1.674889,0.623824,ok,138.57969556380917,89.51077301505578,115.03072709780943,72.01368750185476,3.921300268399364,1.705257589006044,0.007384864547105963,0.008227727048208067,True,0.002065761187081197
